 ,Area,Mean,Min,Max,Angle,Length
1,34,111.323,20.067,253.950,-3.468,32.744
2,23,254.633,249.703,255.000,0.000,21.781
3,60,137.392,19.785,222.224,-5.807,59.170
4,62,95.402,9.839,253.017,0.000,60.986
5,34,87.467,8.062,254.624,-7.125,32.960
6,60,116.551,14.612,222.308,-8.673,59.450
7,91,115.774,5.458,214.420,-5.774,89.725
8,62,141.179,13.078,242.505,-14.265,60.752
9,89,134.908,37.384,171.913,-7.206,87.801
10,73,94.007,6.838,242.770,-5.631,72.173
11,101,110.383,0.240,209.711,-3.400,100.405
12,110,77.030,2.624,220.686,-5.816,109.447
13,95,46.748,0.000,214.185,-3.691,93.885
14,89,119.485,15.774,217.274,-8.499,88.098
15,76,69.450,0.000,218.588,-8.455,74.851
16,93,62.319,1.000,202.698,-8.043,92.408
17,184,127.974,1.000,254.665,-12.665,182.855
18,326,90.524,2.000,254.377,177.702,324.797
19,435,128.818,8.622,252.642,-6.092,433.679
20,190,138.074,3.000,224.301,-11.904,189.243
21,94,98.450,6.205,231.544,-9.972,92.741
22,172,83.043,2.467,214.646,-11.837,171.295
23,41,149.257,35.981,226.767,-12.995,40.162
24,86,112.868,33.957,241.170,-11.575,84.581
25,60,88.050,11.317,234.856,-3.879,58.969
26,60,131.275,16.128,219.390,-21.251,58.647
27,46,132.456,23.093,218.793,-16.460,45.480
28,39,131.642,27.632,218.253,-9.211,37.600
29,49,142.794,60.851,223.117,-18.060,48.214
30,90,63.631,0.000,208.664,0.000,89.301
31,47,39.592,0.000,251.653,-2.490,45.792
32,47,144.017,27.538,238.455,-5.080,45.947
33,47,56.859,8.096,224.096,-2.490,45.792
34,40,49.943,7.420,249.150,-7.306,39.447
35,32,141.758,36.664,245.459,-9.162,30.803
36,54,123.283,12.274,243.767,-9.819,52.995
37,132,146.445,20.092,233.891,-29.908,130.758
38,76,166.332,40.818,226.799,-17.216,75.104
39,47,77.036,3.000,253.096,0.000,45.740
40,110,107.560,28.989,195.165,-26.095,109.100
41,51,107.090,3.950,238.777,-4.574,50.285
42,59,119.077,24.877,219.708,-24.775,57.503
43,45,99.123,7.988,239.576,-5.315,43.779
44,25,72.784,13.776,253.580,-4.764,24.058
45,65,79.717,0.177,205.348,-18.153,64.059
46,79,40.285,0.000,193.300,-23.295,78.077
47,76,136.089,16.247,230.080,-15.524,74.502
48,57,156.926,94.436,230.555,-25.641,55.530
49,184,128.021,40.710,211.529,-15.173,182.816
50,205,74.479,0.000,214.539,169.019,204.183
51,127,100.614,23.395,245.055,-0.909,126.348
52,87,130.475,15.007,224.160,-14.845,85.585
53,77,153.064,103.227,215.493,-31.608,76.202
54,112,52.497,0.000,139.174,-25.641,111.061
55,34,94.686,9.464,253.997,-30.379,33.247
56,46,112.974,17.257,219.980,-23.199,44.902
57,51,87.595,25.605,197.683,-22.443,49.763
58,112,147.296,68.197,189.501,43.176,110.933
59,91,151.001,28.185,254.724,-3.857,89.540
60,39,112.833,20.029,251.235,-10.713,37.600
61,60,151.087,26.906,222.491,-23.962,59.490
62,97,155.911,27.890,229.944,-11.547,95.687
63,32,94.744,9.076,247.381,-13.134,31.185
64,49,47.120,15.082,234.189,-2.386,47.967
65,45,108.222,11.454,253.301,-7.765,44.049
66,29,156.173,29.251,245.528,-22.932,28.315
67,92,149.023,69.676,220.291,-16.639,90.959
68,80,115.790,85.000,214.970,-62.140,78.924
69,106,82.171,1.966,199.301,-91.091,104.571
70,29,56.121,12.147,245.219,0.000,28.315
